"X","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","near_bay","near_ocean","oneh_ocean","inland"
14435,-117.23,32.8,28,3379,918,1849,849,3.0293,241700,0,1,0,0
18522,-122.05,36.97,20,2428,473,1145,454,3.6797,263800,0,1,0,0
15153,-117.05,33.01,17,3430,425,1468,433,10.6186,429300,0,0,1,0
10326,-117.8,33.79,13,2021,362,1081,341,4.3269,231400,0,0,1,0
6600,-118.16,34.17,52,1193,228,703,221,3.1741,163800,0,0,1,0
6844,-118.13,34.07,20,2130,654,1870,578,2.3664,192200,0,0,1,0
1430,-122.03,37.98,45,2842,567,1261,535,3.6042,138200,1,0,0,0
19222,-122.71,38.46,23,3220,603,1299,591,3.9261,213300,0,0,1,0
3558,-118.56,34.24,23,2980,362,1208,378,8.1714,500001,0,0,1,0
15202,-117.11,32.91,15,1840,235,855,241,7.5992,310600,0,0,1,0
5106,-118.31,33.95,44,1558,333,1095,316,4.0043,133500,0,0,1,0
770,-122.09,37.65,35,1184,200,572,194,4.7143,193800,1,0,0,0
17020,-122.3,37.52,38,2769,387,994,395,5.5902,417000,0,1,0,0
14003,-117.1,34.57,6,5110,1044,1938,724,3.1917,112800,0,0,0,1
11737,-121.06,38.88,17,7635,1284,3096,1227,4.2917,184300,0,0,0,1
2429,-119.52,36.61,33,1225,275,1065,248,1.8958,55100,0,0,0,1
19436,-121.04,37.67,16,19,19,166,9,0.536,162500,0,0,0,1
8622,-118.38,33.86,15,1778,311,908,330,7.674,329300,0,0,1,0
1836,-122.3,37.9,37,2125,489,912,462,2.9219,217200,1,0,0,0
3597,-118.49,34.24,34,1971,316,917,307,6.0965,262300,0,0,1,0
14287,-117.12,32.72,36,6096,1285,3093,1229,3.37,159100,0,1,0,0
12779,-121.42,38.64,44,1728,367,1042,349,1.6033,58500,0,0,0,1
17767,-121.85,37.34,27,1481,409,1505,391,2.5769,137500,0,0,1,0
10731,-117.87,33.6,35,1598,398,782,411,5.1155,5e+05,0,0,1,0
2538,-122.01,39.74,20,2332,518,1856,495,2.1746,58700,0,0,0,1
11855,-120.46,39.83,18,3406,673,1567,617,2.2717,75900,0,0,0,1
10776,-117.9,33.65,28,2043,430,1108,452,5.2549,261800,0,0,1,0
16082,-122.49,37.74,52,2302,457,1154,424,4.5744,315200,0,1,0,0
19712,-121.65,39.16,16,5022,1103,2087,956,2.3963,114800,0,0,0,1
17078,-122.2,37.48,41,733,155,652,140,5.1654,233600,1,0,0,0
12296,-116.89,33.93,29,4549,916,2494,912,2.0976,72600,0,0,0,1
16981,-122.3,37.57,36,2406,436,1189,403,4.7917,276100,1,0,0,0
3266,-122.95,39.13,17,380,69,225,72,3.25,137500,0,0,0,1
13386,-117.56,34.12,4,6956,1271,3455,1228,4.7193,178700,0,0,0,1
19563,-120.96,37.59,11,4236,879,2410,850,2.3849,122000,0,0,0,1
8241,-118.19,33.77,21,2103,727,1064,603,1.6178,137500,0,1,0,0
6564,-118.13,34.2,46,1271,236,573,210,4.9312,240200,0,0,0,1
3141,-118.19,34.87,2,2103,389,923,338,5.0553,111100,0,0,0,1
16367,-121.3,38.01,30,2547,485,1547,501,3.994,95500,0,0,0,1
11079,-117.85,33.8,40,1461,286,1322,264,4.3269,194100,0,0,1,0
8500,-118.29,33.89,32,2355,583,1605,571,4.2171,218200,0,0,1,0
16222,-121.36,37.96,32,614,95,227,107,3.9922,247400,0,0,0,1
214,-122.22,37.79,46,2366,575,1647,527,2.6042,124700,1,0,0,0
4944,-118.28,34.02,46,1098,426,1510,374,2.1382,156300,0,0,1,0
1887,-119.98,38.93,25,1262,293,534,226,2.6607,90400,0,0,0,1
20011,-119.14,36.06,32,1838,441,1628,425,1.6452,41500,0,0,0,1
1176,-121.57,39.48,15,202,54,145,40,0.8252,42500,0,0,0,1
17506,-121.9,37.36,47,1007,245,581,240,2.9545,237500,0,0,1,0
10314,-117.8,33.85,23,3038,470,1568,438,5.6403,233000,0,0,1,0
4370,-118.28,34.11,46,1156,203,514,213,4.2019,352100,0,0,1,0
412,-122.28,37.89,52,1225,169,412,168,5.7912,327100,1,0,0,0
8171,-118.12,33.81,36,1665,291,721,294,4.6875,250700,0,0,1,0
14025,-117.15,32.76,43,2361,489,824,470,3.4196,302200,0,1,0,0
1641,-121.84,37.98,8,7505,1089,3325,1016,5.2699,204200,0,0,0,1
7287,-118.24,33.98,45,173,42,230,57,3.0724,110700,0,0,1,0
8378,-118.35,33.95,30,2661,765,2324,724,3.0519,137500,0,0,1,0
2692,-115.52,32.97,10,1879,387,1376,337,1.9911,67500,0,0,0,1
9047,-118.1,34.65,33,873,177,425,142,2.67,187500,0,0,0,1
16771,-122.47,37.69,27,2447,720,2104,657,3.449,239100,0,1,0,0
16978,-122.31,37.57,31,2197,477,1193,394,4.6371,271100,0,1,0,0
1533,-122.05,37.9,24,4125,1020,1699,873,2.9526,271000,1,0,0,0
17012,-122.28,37.53,34,1980,385,970,391,5.1207,310900,0,1,0,0
17341,-120.45,34.86,23,3415,778,1492,633,2.2791,114800,0,1,0,0
11537,-118.09,33.77,27,2301,640,847,627,1.7208,67500,0,0,1,0
11441,-117.97,33.73,18,3698,574,2046,614,6.2984,269800,0,0,1,0
18951,-122.05,38.26,32,1070,199,631,195,2.6827,98900,0,0,0,1
3578,-118.54,34.24,24,4631,1164,2360,1083,3.0977,264000,0,0,1,0
13736,-117.2,34.04,24,1587,222,676,234,6.0715,173400,0,0,0,1
18384,-121.8,37.19,45,1797,303,870,281,4.5417,434500,0,0,1,0
20399,-118.86,34.22,26,1775,295,1004,323,5.5845,251700,0,0,1,0
8608,-118.37,33.87,18,2516,485,1128,433,5.0114,338600,0,0,1,0
7834,-118.16,33.91,28,2922,739,3013,673,2.9531,127100,0,0,1,0
9791,-121.84,36.25,20,958,245,590,189,2.6094,362500,0,1,0,0
2669,-115.46,33.19,33,1234,373,777,298,1,40000,0,0,0,1
1062,-121.87,39.75,22,1707,296,822,297,3.6625,126600,0,0,0,1
13935,-117.32,34.24,29,1290,263,323,113,1.9265,103300,0,0,0,1
17488,-119.82,34.43,15,1482,345,669,379,3.0773,112500,0,1,0,0
12066,-117.55,33.85,4,8207,1373,3887,1304,4.8686,195300,0,0,0,1
3002,-119.02,35.3,10,7397,1369,4611,1310,3.6369,81600,0,0,0,1
15083,-116.94,32.8,28,3042,729,1964,703,2.4141,137500,0,0,1,0
18913,-122.24,38.15,10,6817,1188,4163,1135,4.4529,144100,1,0,0,0
14260,-117.11,32.7,33,1980,488,1626,428,1.4856,86400,0,1,0,0
17478,-120.05,34.47,21,1241,248,746,211,3.8056,425000,0,1,0,0
6871,-118.11,34.06,14,2628,668,2208,574,2.9764,160300,0,0,1,0
8119,-118.18,33.8,42,2301,621,2114,561,2.0579,132700,0,1,0,0
19969,-119.09,36.21,43,1335,280,943,288,1.9861,47700,0,0,0,1
16850,-122.42,37.62,39,1355,214,682,246,6.3443,324700,0,1,0,0
1180,-121.54,39.48,29,2896,596,1809,617,1.8047,53800,0,0,0,1
2892,-118.98,35.39,32,2620,682,2375,684,1.2618,46900,0,0,0,1
10629,-117.77,33.71,4,1646,321,859,300,5.5631,227800,0,0,1,0
11224,-117.94,33.81,33,1891,334,932,343,4.2759,238000,0,0,1,0
16635,-120.84,35.31,23,3100,603,1515,609,2.8493,196100,0,1,0,0
13231,-117.64,34.15,16,2896,404,1165,379,6.4559,392900,0,0,0,1
11801,-121.29,38.9,45,2019,394,1104,407,3.1691,108700,0,0,0,1
15295,-117.35,33.17,16,4595,1341,2849,1197,2.478,185600,0,1,0,0
15488,-117.12,33.14,16,1710,272,1025,267,4.1641,163600,0,0,1,0
15991,-122.47,37.75,45,2399,426,911,423,4.4312,361000,1,0,0,0
12254,-117.02,33.73,14,3700,750,1171,695,1.9476,112500,0,0,0,1
9467,-123.8,39.44,52,1533,336,754,340,1.9213,95000,0,0,1,0
1306,-121.83,38,25,1710,288,799,259,4.8359,145300,0,0,0,1
2167,-119.83,36.77,23,2168,503,1190,425,2.625,71600,0,0,0,1
20510,-121.53,38.6,25,5154,1105,3196,1073,2.7566,80200,0,0,0,1
16019,-122.47,37.73,52,2134,277,936,285,5.9245,484600,0,1,0,0
18811,-121.67,40.89,17,2548,537,1118,461,2.267,57800,0,0,0,1
4736,-118.39,34.05,47,1621,314,724,311,5.7509,474100,0,0,1,0
14455,-117.27,32.83,39,1877,426,805,409,3.875,410000,0,1,0,0
5975,-117.76,34.11,22,4935,954,2874,938,3.9825,180500,0,0,0,1
17734,-121.8,37.31,15,1807,378,1277,341,4.5045,164500,0,0,1,0
19763,-122.19,40.07,21,1548,290,744,265,1.9773,55000,0,0,0,1
17538,-121.89,37.35,47,2879,631,2229,606,3.2599,183100,0,0,1,0
16059,-122.49,37.76,52,1792,305,782,287,4.0391,332700,1,0,0,0
18136,-122.01,37.35,33,2517,496,1158,443,5.0785,289500,0,0,1,0
11738,-121.08,38.89,41,3471,753,1680,710,2.6701,139000,0,0,0,1
12272,-117.04,34,21,4624,852,2174,812,3.5255,132100,0,0,0,1
3409,-118.31,34.26,37,1444,246,624,239,5.76,239400,0,0,1,0
6033,-117.72,34.07,33,4100,740,2580,730,3.7321,134200,0,0,0,1
17815,-121.82,37.42,13,3752,572,1581,526,6.1091,329400,0,0,1,0
11496,-118.03,33.7,15,3244,421,1259,413,7.7854,395300,0,0,1,0
10735,-117.87,33.6,34,3415,779,1275,718,4.498,482900,0,0,1,0
7574,-118.21,33.9,43,1810,357,1335,358,3.1189,118800,0,0,1,0
17637,-121.92,37.27,29,5536,862,2651,881,5.6358,282100,0,0,1,0
3307,-122.64,38.96,29,883,187,326,136,1.7273,58200,0,0,0,1
5869,-118.35,34.18,46,2711,491,1277,490,4.282,224700,0,0,1,0
11164,-118,33.83,24,2578,580,1217,529,2.2401,212500,0,0,1,0
4970,-118.28,34,43,713,245,880,237,1.2065,103600,0,0,1,0
14691,-117.09,32.8,36,2163,367,915,360,4.7188,174100,0,1,0,0
5452,-118.46,34.01,43,513,98,266,103,5.6428,343100,0,0,1,0
1986,-120.79,38.7,13,5036,1034,2243,923,2.3319,138500,0,0,0,1
17768,-121.84,37.35,22,2914,768,2962,762,2.2031,164000,0,0,1,0
17221,-119.72,34.47,34,3262,533,1265,502,5.8411,381800,0,0,1,0
9808,-121.93,36.59,25,2201,353,622,295,5.0621,386500,0,1,0,0
15160,-117.05,32.96,18,3593,661,1992,626,4.8295,165800,0,0,1,0
1233,-120.36,38.21,10,4300,845,1480,609,2.8208,139900,0,0,0,1
12802,-121.46,38.62,35,3326,696,2511,649,1.9871,60900,0,0,0,1
2693,-115.32,32.82,34,591,139,327,89,3.6528,1e+05,0,0,0,1
4182,-118.23,34.09,41,438,201,690,161,2.0476,181300,0,0,1,0
17660,-121.88,37.28,33,2951,529,1288,521,4.1554,313100,0,0,1,0
13031,-121.2,38.67,26,1546,287,773,299,2.9803,115400,0,0,0,1
16492,-121.05,37.93,17,2474,480,1649,453,3.275,156500,0,0,0,1
17904,-121.97,37.36,24,4841,894,2656,920,6.0573,254500,0,0,1,0
4781,-118.32,34.04,42,1766,404,1117,367,2.0259,168800,0,0,1,0
15,-122.26,37.85,52,2643,626,1212,620,1.9167,159200,1,0,0,0
15036,-117,32.79,31,3256,726,1595,706,3.4773,155800,0,0,1,0
2213,-119.86,36.8,18,2536,516,1196,466,2.5595,67900,0,0,0,1
16908,-122.35,37.57,52,2059,345,800,308,4.97,500001,0,1,0,0
16767,-122.48,37.69,33,2347,512,1259,481,3.4492,264300,0,1,0,0
13271,-117.66,34.09,23,1426,313,954,319,3.0357,151500,0,0,0,1
3455,-118.41,34.32,18,6572,1105,3473,1067,5.2987,203400,0,0,1,0
17677,-121.84,37.32,14,5762,1538,3979,1389,3.6953,192600,0,0,1,0
4116,-118.42,34.14,27,3990,892,1417,800,4.0439,500001,0,0,1,0
2878,-118.98,35.38,39,1497,383,1182,355,1.0648,50000,0,0,0,1
763,-122.08,37.65,35,1813,393,1093,374,3.6818,165400,1,0,0,0
4069,-118.48,34.15,31,2536,429,990,424,5.4591,495500,0,0,1,0
4578,-118.28,34.07,14,1924,926,2226,792,2.2552,265900,0,0,1,0
18234,-122.09,37.4,26,3218,1021,2087,964,3.2875,182700,1,0,0,0
15022,-117.03,32.79,17,7352,1699,3331,1634,2.7006,166300,0,0,1,0
14681,-117.1,32.83,16,4214,744,1820,699,4.3783,179500,0,0,1,0
7166,-118.17,34.05,35,1256,294,2990,302,3.1528,121800,0,0,1,0
815,-122.03,37.61,37,1383,259,808,241,4.0125,161400,1,0,0,0
15680,-122.43,37.8,52,1006,251,349,233,3.2235,5e+05,1,0,0,0
17756,-121.81,37.35,28,3477,671,2990,648,4.4671,172600,0,0,1,0
16613,-121.11,35.52,9,6044,1222,2239,972,3.24,264600,0,1,0,0
4024,-118.52,34.18,46,2082,438,1047,393,3.6534,216000,0,0,1,0
6076,-117.87,34.08,33,4518,716,2037,764,5.6015,267200,0,0,1,0
14221,-117.06,32.66,33,3425,511,1528,479,5.6889,234600,0,1,0,0
2434,-119.63,36.6,33,1589,294,1102,307,1.9676,62400,0,0,0,1
12755,-121.37,38.61,39,823,146,329,144,3.0833,114100,0,0,0,1
9240,-119.85,36.97,13,2872,477,1607,481,4.475,102400,0,0,0,1
2699,-115.38,32.82,38,1892,394,1175,374,1.9939,65800,0,0,0,1
16395,-121.25,38.03,29,2465,327,859,315,6.6605,220700,0,0,0,1
11332,-117.94,33.75,30,5268,1093,4480,1050,4.015,186700,0,0,1,0
9395,-122.52,37.91,30,4174,739,1818,705,5.5951,402900,1,0,0,0
18960,-122.04,38.25,37,1176,291,648,271,2.7167,92200,0,0,0,1
8571,-118.4,33.9,34,2674,435,1087,431,7.3151,492200,0,0,1,0
2473,-119.86,36.45,19,2439,462,1416,469,2.4474,75600,0,0,0,1
17386,-120.47,34.98,6,5762,1115,2551,919,3.0723,137300,0,0,1,0
12428,-116.21,33.66,19,1596,295,1201,282,3.8846,100900,0,0,0,1
18655,-121.96,36.98,16,4907,1117,2265,1048,2.6757,229200,0,1,0,0
6692,-118.08,34.13,46,1238,147,377,145,8.4546,500001,0,0,0,1
3214,-119.65,36.34,47,1869,357,832,315,3.0846,76100,0,0,0,1
1973,-120.54,38.75,9,3006,540,1102,418,3.9812,136600,0,0,0,1
10908,-117.85,33.75,27,2311,632,2936,609,2.5651,171400,0,0,1,0
10315,-117.82,33.85,21,2603,404,1350,390,6.057,235900,0,0,1,0
20016,-119.08,36.09,25,1880,339,1003,315,2.7298,103400,0,0,0,1
1040,-120.97,38.42,16,1748,322,4930,287,4.3029,121900,0,0,0,1
19628,-121.03,37.32,42,2905,561,1457,551,2.2566,82100,0,0,0,1
12146,-117.21,33.71,16,8476,1758,2711,1427,2.1848,97900,0,0,1,0
3230,-119.64,36.31,27,1513,314,1071,284,1.5909,50100,0,0,0,1
3886,-118.52,34.21,34,1663,299,762,282,5.1265,211000,0,0,1,0
2460,-119.73,36.52,20,1741,331,1466,289,2.5921,94200,0,0,0,1
19864,-119.32,36.36,18,2060,383,1348,397,3.4312,68400,0,0,0,1
18512,-122,36.98,43,1636,324,792,325,3.5562,239200,0,1,0,0
5195,-118.26,33.92,40,1076,244,705,255,1.7986,98900,0,0,1,0
19794,-123.13,40.85,18,1650,377,675,282,1.8933,84700,0,0,0,1
5468,-118.47,33.99,52,1523,447,636,408,3.0682,412500,0,0,1,0
16160,-122.49,37.78,52,2050,439,1109,437,2.6719,318500,1,0,0,0
15710,-122.43,37.79,25,1637,394,649,379,5.0049,460000,1,0,0,0
9380,-122.48,37.93,16,2947,802,1385,743,3.6731,318000,1,0,0,0
14277,-117.13,32.7,38,1445,392,1286,357,1.4632,80200,0,1,0,0
4520,-118.2,34.04,44,1582,544,1998,515,1.6888,125000,0,0,1,0
550,-122.25,37.77,52,2156,458,872,445,3.2685,254200,1,0,0,0
14075,-117.12,32.76,27,1426,364,792,353,2.0673,118800,0,1,0,0
4057,-118.44,34.15,44,1778,251,641,251,10.0549,500001,0,0,1,0
5278,-118.51,34.04,38,4715,691,1660,637,10.1882,500001,0,0,1,0
16472,-121.25,38.13,25,1305,270,789,235,3.2993,91100,0,0,0,1
4543,-118.2,34.03,52,583,157,730,174,1.4115,140600,0,0,1,0
17343,-120.4,34.85,26,2384,385,1323,400,4.8185,157900,0,0,1,0
14138,-117.05,32.74,34,2178,455,1193,446,3.1719,115300,0,1,0,0
15899,-122.39,37.72,52,135,34,93,26,2.1484,181300,1,0,0,0
15753,-122.44,37.77,52,3475,807,1518,777,3.6186,500001,1,0,0,0
4860,-118.3,34.02,34,3184,772,2474,705,1.631,137500,0,0,1,0
9245,-120.05,36.98,16,3705,739,2463,697,2.5288,61800,0,0,0,1
13556,-117.3,34.1,44,589,130,504,137,1.775,63400,0,0,0,1
18366,-122.12,37.28,21,349,64,149,56,5.8691,360000,0,0,1,0
6969,-118.05,33.98,41,1406,428,1174,390,2.0147,137500,0,0,1,0
1134,-121.62,39.75,20,1173,261,523,258,1.0625,92800,0,0,0,1
124,-122.24,37.84,52,3529,574,1177,555,5.1773,389500,1,0,0,0
5178,-118.25,33.95,35,1405,326,1086,273,1.0375,89800,0,0,1,0
5931,-117.79,34.11,18,3814,721,1881,692,4.4722,215600,0,0,0,1
1900,-120.01,38.89,24,1669,422,589,281,3.0089,100800,0,0,0,1
19455,-120.96,37.66,16,4961,902,2654,804,4.2823,138300,0,0,0,1
2266,-119.82,36.78,36,1582,313,761,318,2.6055,69200,0,0,0,1
13550,-117.31,34.13,36,1076,283,773,224,2.6307,66400,0,0,0,1
5126,-118.27,33.98,30,1966,584,2028,535,1.625,101500,0,0,1,0
4734,-118.36,34.05,50,3518,812,1724,758,3.0833,338100,0,0,1,0
8836,-118.37,34.09,24,630,172,257,147,5.5224,4e+05,0,0,1,0
14184,-117.07,32.71,39,2754,652,2263,619,2.2454,89600,0,1,0,0
13621,-117.25,34.12,17,3107,752,2160,643,1.8463,72600,0,0,0,1
11169,-117.99,33.82,33,2342,475,1367,509,4.1167,215500,0,0,1,0
9003,-118.34,33.99,48,1172,205,497,190,3.825,183000,0,0,1,0
5737,-118.23,34.15,40,2124,370,998,372,5.3369,370400,0,0,1,0
4989,-118.31,34,52,2709,642,1751,613,2.1116,122500,0,0,1,0
5940,-117.9,34.14,35,2259,505,1561,509,3.3043,155500,0,0,1,0
10523,-117.7,33.54,4,4956,693,1802,625,7.9338,354700,0,0,1,0
3288,-122.69,39.04,9,254,50,66,29,2.7639,112500,0,0,0,1
14832,-117.09,32.68,30,2662,653,1997,605,2.8089,120600,0,1,0,0
10063,-120.99,39.26,16,2616,422,1090,425,3.7917,179200,0,0,0,1
14123,-117.1,32.74,30,1772,500,1389,447,2.3641,94100,0,1,0,0
16393,-121.23,38.04,32,1829,262,677,243,6.1805,247900,0,0,0,1
9303,-122.55,38.02,27,4985,711,1928,742,6.4978,361500,1,0,0,0
273,-122.19,37.78,52,1070,193,555,190,3.7262,166900,1,0,0,0
19295,-122.84,38.4,15,3080,617,1446,599,3.6696,194400,0,0,1,0
10648,-117.8,33.53,41,2017,489,783,403,4.1591,500001,0,0,1,0
16953,-122.33,37.53,25,1729,383,769,352,4.0417,458500,0,1,0,0
2474,-119.86,36.43,34,1175,251,683,261,1.7176,58400,0,0,0,1
14208,-117.03,32.7,19,2304,572,2010,556,2.2866,109900,0,1,0,0
12347,-116.52,33.82,21,10227,2315,3623,1734,2.5212,145200,0,0,0,1
6147,-117.95,34.11,29,1986,448,2013,432,3.1034,140800,0,0,0,1
13599,-117.3,34.07,34,567,143,387,138,1.7981,73300,0,0,0,1
19188,-122.66,38.45,26,2081,339,906,323,4.4375,293500,0,0,1,0
7906,-118.1,33.88,18,8046,1221,4276,1228,6.5515,319600,0,0,1,0
15440,-117.23,33.2,21,2284,360,999,356,4.8929,212500,0,0,1,0
143,-122.2,37.81,45,2964,436,1067,426,6.7851,323500,1,0,0,0
9081,-118.19,34.77,16,2035,370,704,330,2.1979,146400,0,0,0,1
16915,-122.36,37.54,23,6184,747,2165,700,10.1675,500001,0,1,0,0
825,-122.08,37.63,34,1619,293,1148,310,4.0326,164700,1,0,0,0
19164,-122.67,38.33,4,8072,1606,4323,1475,3.9518,220300,0,0,1,0
6956,-118.06,33.98,42,1342,243,615,208,5.4381,186900,0,0,1,0
8994,-118.35,33.99,48,2741,439,1115,459,5.0514,269100,0,0,1,0
14365,-117.23,32.73,44,1168,263,509,256,2.7273,269700,0,1,0,0
17554,-121.88,37.33,41,395,164,549,184,2.375,175000,0,0,1,0
8722,-118.36,33.83,36,1660,300,943,300,5.1984,353600,0,0,1,0
10887,-117.91,33.71,16,3113,783,1719,715,3.6505,145700,0,0,1,0
14189,-117.06,32.71,11,2397,523,1566,514,3.8687,145200,0,1,0,0
12292,-116.97,33.93,29,2793,722,1583,626,1.424,73200,0,0,0,1
1960,-120.78,38.72,19,4414,767,1865,699,3.6406,150900,0,0,0,1
10012,-121.1,39.15,10,680,143,354,140,4.0333,161500,0,0,0,1
6867,-118.12,34.06,25,1137,293,800,281,2.4286,233300,0,0,1,0
5751,-118.28,34.17,52,2332,433,1135,440,5.5658,331200,0,0,1,0
2401,-119.25,36.71,13,2813,579,1385,512,2.2202,1e+05,0,0,0,1
16743,-122.45,37.7,46,2193,499,1814,489,4.0125,230100,0,1,0,0
4679,-118.34,34.08,52,1721,195,688,196,15.0001,500001,0,0,1,0
10439,-117.62,33.42,27,1444,412,597,311,3.1395,310000,0,1,0,0
10081,-120.24,39.35,8,4195,725,291,115,3.4792,180800,0,0,0,1
3105,-117.67,35.63,32,3661,787,1613,706,3.0687,63500,0,0,0,1
8587,-118.39,33.9,7,4314,725,1699,718,8.2037,500001,0,0,1,0
17499,-119.79,34.44,25,1479,314,977,309,4.1797,271800,0,1,0,0
14507,-117.22,32.87,5,3511,1008,1599,918,3.8542,176600,0,1,0,0
5397,-118.37,34.04,43,1465,278,727,290,4.0781,289400,0,0,1,0
6625,-118.14,34.17,52,2667,486,1681,504,4.0524,173100,0,0,1,0
9602,-120.48,37.3,49,2919,719,1956,679,1.5427,88500,0,0,0,1
18830,-123.26,41.86,25,2344,532,1117,424,2.7222,64600,0,0,0,1
19450,-121.03,37.68,20,3204,625,2016,605,2.6567,110400,0,0,0,1
3711,-118.38,34.2,32,993,285,1044,248,2.4306,187500,0,0,1,0
6896,-118.11,34.04,28,3913,696,2264,697,5.2446,258000,0,0,1,0
4249,-118.32,34.14,23,4574,1423,1624,995,4.0965,500001,0,0,1,0
17752,-121.84,37.33,26,1934,408,2059,416,3.6765,163600,0,0,1,0
11033,-117.84,33.78,24,3817,787,1656,713,4.25,248000,0,0,1,0
7475,-118.21,33.93,33,2739,801,3423,741,2.2847,132700,0,0,1,0
4777,-118.33,34.04,33,1806,444,1161,393,2.5927,161500,0,0,1,0
13075,-121.28,38.59,3,4188,1136,2081,995,3.0481,92500,0,0,0,1
4215,-118.27,34.13,47,1375,359,1512,418,2.1071,208900,0,0,1,0
17015,-122.29,37.52,33,4104,751,1837,771,5.3506,388100,0,1,0,0
9064,-118.16,34.68,9,4303,900,2240,861,3.7807,110900,0,0,0,1
1539,-122.02,37.89,29,6349,858,2450,778,7.5,356200,1,0,0,0
17287,-119.72,34.41,26,1648,378,954,405,3.2895,335000,0,1,0,0
2341,-119.67,36.81,4,1262,216,622,199,4.9432,114400,0,0,0,1
14745,-117.06,32.57,16,1269,282,1609,298,2.6985,156500,0,1,0,0
11367,-117.95,33.74,25,1393,243,976,245,5.4485,225200,0,0,1,0
13689,-117.2,34.15,18,1859,251,747,256,7.732,173200,0,0,0,1
12542,-121.49,38.56,52,1777,368,624,350,3.6729,137800,0,0,0,1
4012,-118.59,34.17,36,1887,359,761,329,5.4847,296000,0,0,1,0
13634,-117.34,34.08,35,1380,248,730,264,3.2305,93700,0,0,0,1
1511,-122.03,37.92,23,3318,408,1124,393,6.5847,358800,1,0,0,0
13013,-121.25,38.71,14,3713,637,1845,635,4.3009,143400,0,0,0,1
2796,-118.31,36.94,35,2563,530,861,371,2.325,80600,0,0,0,1
13898,-116.29,34.18,15,4203,966,1756,695,2.182,60800,0,0,0,1
16604,-120.69,35.62,35,3451,713,1550,653,2.9167,161700,0,0,1,0
1883,-119.99,38.94,24,1216,289,421,185,3.1625,103600,0,0,0,1
12949,-121.28,38.63,36,120,16,30,14,10.2264,350000,0,0,0,1
3375,-118.3,34.26,42,2186,423,1145,439,4.81,191900,0,0,1,0
822,-122.06,37.63,12,6711,1374,3388,1289,3.8625,208900,1,0,0,0
3822,-118.48,34.19,20,5699,1594,3809,1381,2.8646,221100,0,0,1,0
17051,-122.28,37.47,44,863,114,281,99,6.8879,500001,0,1,0,0
4915,-118.27,34,46,1748,428,1707,409,2.148,103800,0,0,1,0
8115,-118.19,33.8,41,2125,591,1604,555,2.9943,190600,0,1,0,0
20056,-119.12,35.85,37,736,166,564,138,2.4167,58300,0,0,0,1
15620,-122.42,37.8,50,2494,731,958,712,3.2356,500001,1,0,0,0
19513,-121.02,37.61,33,1469,370,1318,349,1.7104,59000,0,0,0,1
4282,-118.32,34.09,27,210,98,332,112,2.5556,175000,0,0,1,0
10325,-117.77,33.8,16,3973,483,1373,452,9.8074,417000,0,0,1,0
3380,-118.27,34.25,37,2489,454,1215,431,5.0234,257600,0,0,1,0
7555,-118.19,33.91,43,1531,357,1509,376,2.6354,128100,0,0,1,0
491,-122.25,37.86,52,1389,191,514,202,7.0897,446200,1,0,0,0
20014,-119.01,36.02,17,3915,742,1768,688,2.375,79800,0,0,0,1
3535,-118.55,34.26,21,4018,536,1508,529,8.203,445400,0,0,1,0
3202,-119.66,36.35,15,1724,374,947,391,3.1094,91900,0,0,0,1
16428,-121.36,38.15,42,2051,334,878,318,4.3553,185700,0,0,0,1
6842,-118.12,34.06,23,1190,347,965,327,2.2261,211800,0,0,1,0
2370,-119.57,36.71,10,1657,359,958,380,2.6458,84800,0,0,0,1
